CCTV-央视,#genre#
CCTV-8电视剧HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229900/10000100000000060000000009924385_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPY686xfkYYPeWM9m7I1Hkjw,

CCTV-9纪录HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227617/10000100000000060000000004662501_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPY/NYWdZOvodis/1RkPGgJg,

CCTV-10科教HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227631/10000100000000060000000004662500_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP3iFPY951r0MPsf70ICzFkg,

CCTV-11戏曲HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229858/10000100000000060000000010595398_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPUUuRQWc4dN30RN9Y65bvhA,

CCTV-12社会与法HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227576/10000100000000060000000004662502_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPpP7vC6IL3kEtE2cdDL98lA,

CCTV-13新闻,rtsp://125.88.70.140/PLTV/88888905/224/3221227258/10000100000000060000000001066424_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPc70Mg9yfl2yNxnU/2kIrxQ,

CCTV-14少儿HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227573/10000100000000060000000004662499_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPehRRKFqSACu5qcsFpadSJQ,

CCTV-15音乐HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229902/10000100000000060000000010595397_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPaCi56x3yoAmsKf7jxQYJHQ,

CCTV-17农业农村HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229870/10000100000000060000000010232873_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP/EldMjfy8Rn7a9TFABF5Bw,

CGTN-NEWS,rtsp://125.88.70.140/PLTV/88888905/224/3221227064/10000100000000060000000000698831_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPW1rLruCX4AsljSnKyeouqQ,

CETV-1HD,rtsp://125.88.70.140/PLTV/88888905/224/3221228289/10000100000000060000000007781467_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPqrf9v+fOmBBrs7UJmpdKfA,

CCTV-第一剧场,rtsp://125.88.70.140/PLTV/88888905/224/3221228292/10000100000000060000000007781466_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPXwd+wC3Ht0ebs1I2wd3QKQ,

CCTV-风云足球,rtsp://125.88.70.140/PLTV/88888905/224/3221228348/10000100000000060000000007969164_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPztKyqJxhyTrENaf3MnajOA,

CCTV-世界地理,rtsp://125.88.70.140/PLTV/88888905/224/3221228270/10000100000000060000000007781464_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP7FcnoK4ZmVwA9Op6P7tHzA,

CCTV-风云音乐,rtsp://125.88.70.140/PLTV/88888905/224/3221228273/10000100000000060000000007935449_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPeJgcWRpjsQ67rO3gJYJdng,

CCTV-风云剧场,rtsp://125.88.70.140/PLTV/88888905/224/3221228276/10000100000000060000000007935448_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPcWtyRE4LvaURCrsTLzMBpQ,

IPTV3＋,rtsp://125.88.70.140/PLTV/88888905/224/3221227024/10000100000000060000000000698849_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPSbSX7xgG8phJ1lELFkETbA,

IPTV5＋高清,rtsp://125.88.70.140/PLTV/88888905/224/3221227991/10000100000000060000000006877797_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPBARgr3LUxNo0jE2Lj/07XA,

IPTV6＋,rtsp://125.88.70.140/PLTV/88888905/224/3221227021/10000100000000060000000000698846_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP/X7fWgMo++SCXgQ4xEdo6A,

IPTV8＋,rtsp://125.88.70.140/PLTV/88888905/224/3221227012/10000100000000060000000000698838_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPxsDwQkRmWy93VGp/v3sjZg,

IPTV-谍战剧场,rtsp://125.88.70.140/PLTV/88888905/224/3221227158/10000100000000060000000000937867_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPZVam09pa1KkB1DXvAGVjRQ,

IPTV-相声小品,rtsp://125.88.70.140/PLTV/88888905/224/3221227135/10000100000000060000000000937845_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwgFS7B+ijRWCi0xXe0zRjg,

IPTV-野外,rtsp://125.88.70.140/PLTV/88888905/224/3221227190/10000100000000060000000000937868_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPvz2gY7S0owpsSX/NG7tT5w,

IPTV-法治,rtsp://125.88.70.140/PLTV/88888905/224/3221227155/10000100000000060000000000937846_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPPdKHEoLpoxHfRaWhkSWLiw,

IPTV-经典电影,rtsp://125.88.70.140/PLTV/88888905/224/3221227204/10000100000000060000000000987156_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPbuL0zMSSJZsBl9Ug7lZ+9A,

IPTV-热播剧场,rtsp://125.88.70.140/PLTV/88888905/224/3221227203/10000100000000060000000000987157_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPz61hl9IdogbK2UZZcWaaIg,

IPTV-少儿动画,rtsp://125.88.70.140/PLTV/88888905/224/3221227070/10000100000000060000000000698839_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPBbw0jpcFAOcpP26tMymlvg,

IPTV-魅力时尚,rtsp://125.88.70.140/PLTV/88888905/224/3221227015/10000100000000060000000000698840_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP3f0j97YAt8As4IqBQP9VGg,

IPTV-收视指南,rtsp://125.88.70.140/PLTV/88888905/224/3221227222/10000100000000060000000000990034_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPOl3axCF/Bm24JlSGemij0Q,

CCTV-卫视,#genre#
广东卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227218/10000100000000060000000000988525_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPqtq2+IJineEwCLx8JJISsA,

湖南卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227325/10000100000000060000000001141345_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwD7j4hIoUmcOji5vCM8K2A,

浙江卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227296/10000100000000060000000001141335_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPSRjvaGNsOvncfiIIaz5/Ig,

江苏卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227027/10000100000000060000000000698853_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPQufzA3Sd+yXDqSzfixqrQQ,

北京卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227018/10000100000000060000000000698843_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP+Ox3KHxpEv2ZsLmUnyWZ6g,

深圳卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227267/10000100000000060000000001141334_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPmGJiRxiarYf2P2IsI/omDQ,

黑龙江卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227302/10000100000000060000000001141347_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP+CfNMBuaoaDHdIo3ER0rGg,

湖北卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227322/10000100000000060000000001141333_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPqw6v8IiWVF6SqwGCflHvxg,

天津卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227346/10000100000000060000000003100521_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPPv8MdyxqK6IXM7d9xMwlzw,

山东卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227215/10000100000000060000000000988473_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP2zpV5/MsYoaXrRk9PGm6NQ,

东方卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227299/10000100000000060000000001141344_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP3QRaet9aeLNGk+sWz7exzA,

辽宁卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227608/10000100000000060000000004547240_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPeizoL+ERuPXt7GohzmuXQA,

四川卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227882/10000100000000060000000006078789_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPOblA/miu8Urke3zyV7C+zg,

重庆卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227897/10000100000000060000000006388228_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPCXVWrPlA9a8hmsq0ssAC+g,

安徽卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227928/10000100000000060000000006526299_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP2QphsyN7s/oNMR5+T+55pw,

贵州卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221228286/10000100000000060000000007781468_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP9g4g5D0HSv3lRXz1B3bRFw,

东南卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229798/10000100000000060000000009574969_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPgb+wV5fRIgE6rjd3N5QHQQ,

河北卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229830/10000100000000060000000009574961_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPK/Fsj6nipYHY18zARIdoZg,

江西卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229779/10000100000000060000000009575029_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP0KqxYVXzxnevB13Te949fQ,

吉林卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229881/10000100000000060000000009574938_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPBN6uogqr3tXkkW1hDJxC7Q,

广西卫视高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229990/10000100000000060000000010232875_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP2HsowHQYIbI/NiVFrTTRDg,

河南卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227093/10000100000000060000000000937769_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPqZ6XGaadIvj6lWxgHXVZew,

云南卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227140/10000100000000060000000000937812_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPCzDsVxQK+mkP/Dy7ROymSg,

陕西卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227090/10000100000000060000000000937749_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPdCBkJb/t4HYVoYopt8RO1A,

山西卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227110/10000100000000060000000000937735_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPFLWlav58JPqLOxfUCzADNw,

内蒙古卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227133/10000100000000060000000000937736_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPWdlJ326YD/6MsjHG5teVrg,

青海卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227113/10000100000000060000000000937738_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPnEWCY/ZT11QjRRmuSlicog,

旅游卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227119/10000100000000060000000000937750_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPbMWytpxaDryQ2mBV9fwn+w,

宁夏卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227151/10000100000000060000000000937771_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP7nqp7P1QdgweadWGAveeZQ,

西藏卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227081/10000100000000060000000000937734_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPlNVy+BgI9iR1fU7aLTSYTA,

新疆卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227084/10000100000000060000000000937737_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP9FSFMdtLSpGhkMFkosKxkg,

甘肃卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227139/10000100000000060000000000937742_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPcJf0tdkwqUl13Ek/gmuNzQ,

